Id,Label,timeset,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
enviaxat,enviaxat,,4,5,6,11,5,10,15,10,0.188267,0.229329,1567.657724
Pablo_Iglesias_,Pablo_Iglesias_,,1,6,0,6,8,0,8,0,0,0,0
PDCComarquesBCN,PDCComarquesBCN,,6,0,6,6,0,10,10,12,0.152281,0.194033,0
JordiMonros,JordiMonros,,6,17,13,30,36,22,58,11,0.17681,0.236051,21831.876882
IcsMarta,IcsMarta,,7,0,6,6,0,12,12,3,0.571429,0.708333,0
HansPeterT,HansPeterT,,4,67,2,69,72,2,74,2,0.625,0.7,1263.766667
SoCal_CAT,SoCal_CAT,,2,36,1,37,37,1,38,0,0,0,0
xamfaina61,xamfaina61,,2,0,6,6,0,7,7,11,0.157655,0.192192,0
psiborn,psiborn,,2,246,1,247,414,1,415,1,1,1,47.936601
cristinasamped1,cristinasamped1,,2,0,5,5,0,6,6,9,0.2,0.232868,0
susisanchezval1,susisanchezval1,,4,0,7,7,0,8,8,8,0.239449,0.284618,0
Kking2k6,Kking2k6,,1,4,9,13,5,12,17,10,0.189691,0.234373,3149.523696
MargaXrepublica,MargaXrepublica,,2,37,9,46,42,18,60,9,0.216132,0.25796,16962.857189
JoanHumetB,JoanHumetB,,0,24,7,31,145,41,186,10,0.184,0.224006,1363.466006
Manji130,Manji130,,0,34,19,53,164,49,213,9,0.223844,0.29395,23321.853439
androide_rre,androide_rre,,3,0,19,19,0,36,36,8,0.259777,0.3296,0
jbp2704,jbp2704,,2,0,9,9,0,10,10,10,0.174623,0.21413,0
Albertodelvalle,Albertodelvalle,,6,2,12,14,3,15,18,13,0.124215,0.16796,6.166667
Eli27102017,Eli27102017,,7,1,7,8,1,9,10,9,0.229808,0.267742,2130.184891
OHLen4,OHLen4,,6,0,11,11,0,13,13,9,0.248654,0.307613,0
filumestre,filumestre,,2,0,7,7,0,8,8,8,0.247321,0.293751,0
